"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a saucedemo shopper
  I want to log in with my account
  So that I can browse and purchase products","390","Login is rejected for invalid credentials","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want the cart to accurately reflect what I've added or removed
  So that I don't get billed for the wrong items","6415","Items added to the cart appear on the checkout overview","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want to log in with my account
  So that I can browse and purchase products","455","A locked-out user is rejected at login","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want the cart to accurately reflect what I've added or removed
  So that I don't get billed for the wrong items","6661","error_user cannot remove an item from the cart page","","2026-08-03","failed","2026-08-03","","","",""
"As a saucedemo shopper
  I want the cart to accurately reflect what I've added or removed
  So that I don't get billed for the wrong items","1293","Adding and removing items updates the cart badge","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want to log in with my account
  So that I can browse and purchase products","498","Login is rejected for invalid credentials","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want to log in with my account
  So that I can browse and purchase products","452","Successful login with an assigned user","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want to log in with my account
  So that I can browse and purchase products","510","Login is rejected for invalid credentials","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want to buy the products in my cart
  So that I receive an order confirmation","763","Checkout requires a postal code","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want to buy the products in my cart
  So that I receive an order confirmation","805","Complete a purchase of a single product","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want to buy the products in my cart
  So that I receive an order confirmation","695","problem_user cannot complete checkout because the last name field is broken","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want to buy the products in my cart
  So that I receive an order confirmation","871","Complete a purchase of multiple products","","2026-08-03","passed","2026-08-03","","","",""
"As a saucedemo shopper
  I want to buy the products in my cart
  So that I receive an order confirmation","818","Complete a purchase of multiple products","","2026-08-03","passed","2026-08-03","","","",""
