"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1183","Complete a purchase of multiple products","","2026-08-14","passed","2026-08-14","","","",""
"","782","Items added to the cart appear on the checkout overview","","2026-08-14","passed","2026-08-14","","","",""
"","866","Complete a purchase of a single product","","2026-08-14","passed","2026-08-14","","","",""
"","327","A locked-out user is rejected at login","","2026-08-14","passed","2026-08-14","","","",""
"","1067","Adding and removing items updates the cart badge","","2026-08-14","passed","2026-08-14","","","",""
"","362","Login is rejected for invalid credentials","","2026-08-14","passed","2026-08-14","","","",""
"","6067","Complete a purchase of multiple products","","2026-08-14","passed","2026-08-14","","","",""
"","295","Login is rejected for invalid credentials","","2026-08-14","passed","2026-08-14","","","",""
"","200","Successful login with a pooled user","","2026-08-14","passed","2026-08-14","","","",""
"","742","Checkout requires a postal code","","2026-08-14","passed","2026-08-14","","","",""
"","738","problem_user cannot complete checkout because the last name field is broken","","2026-08-14","passed","2026-08-14","","","",""
"","310","Login is rejected for invalid credentials","","2026-08-14","passed","2026-08-14","","","",""
