"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","330","Login is rejected for invalid credentials","","2026-08-21","passed","2026-08-21","","","",""
"","327","Login is rejected for invalid credentials","","2026-08-21","passed","2026-08-21","","","",""
"","1331","Complete a purchase of multiple products","","2026-08-21","passed","2026-08-21","","","",""
"","395","A locked-out user is rejected at login","","2026-08-21","passed","2026-08-21","","","",""
"","10578","problem_user cannot complete checkout because the last name field is broken","","2026-08-21","broken","2026-08-21","","","",""
"","507","Successful login with a pooled user","","2026-08-21","passed","2026-08-21","","","",""
"","1986","Complete a purchase of multiple products","","2026-08-21","passed","2026-08-21","","","",""
"","1311","Complete a purchase of a single product","","2026-08-21","passed","2026-08-21","","","",""
"","861","Login is rejected for invalid credentials","","2026-08-21","passed","2026-08-21","","","",""
"","11159","Items added to the cart appear on the checkout overview","","2026-08-21","broken","2026-08-21","","","",""
"","1937","Checkout requires a postal code","","2026-08-21","passed","2026-08-21","","","",""
"","16445","Adding and removing items updates the cart badge","","2026-08-21","broken","2026-08-21","","","",""
