"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10465","problem_user cannot complete checkout because the last name field is broken","","2026-08-06","broken","2026-08-06","","","",""
"","1580","Complete a purchase of multiple products","","2026-08-06","passed","2026-08-06","","","",""
"","15790","Items added to the cart appear on the checkout overview","","2026-08-06","broken","2026-08-06","","","",""
"","1582","Complete a purchase of a single product","","2026-08-06","passed","2026-08-06","","","",""
"","335","Login is rejected for invalid credentials","","2026-08-06","passed","2026-08-06","","","",""
"","1892","Complete a purchase of multiple products","","2026-08-06","passed","2026-08-06","","","",""
"","10780","Checkout requires a postal code","","2026-08-06","broken","2026-08-06","","","",""
"","409","Successful login with a pooled user","","2026-08-06","passed","2026-08-06","","","",""
"","2088","Adding and removing items updates the cart badge","","2026-08-06","passed","2026-08-06","","","",""
"","403","Login is rejected for invalid credentials","","2026-08-06","passed","2026-08-06","","","",""
"","280","Login is rejected for invalid credentials","","2026-08-06","passed","2026-08-06","","","",""
"","417","A locked-out user is rejected at login","","2026-08-06","passed","2026-08-06","","","",""
